uai,effectif_segpa,ips,ecart_type_de_l_ips,ep,ratio_filles_garcons,longueur_nom_etablissement,secteur,effectifs
9720848P,0,99.3,29.9,0,0.792,23,1,224
0771420A,58,75.3,21.2,0,1.0198675496688743,20,1,610
0951617S,0,88.0,28.1,0,0.9230769230769231,22,1,550
0594632P,44,88.4,34.9,0,0.9897610921501706,21,1,583
0931196V,0,82.3,23.2,0,0.858085808580858,21,1,563
0572017H,27,83.4,25.4,0,0.9878787878787879,19,1,328
0350708E,98,90.1,25.2,0,0.8109756097560976,18,1,594
0421486M,0,88.1,30.9,0,1.0964467005076142,22,1,413
0562028A,0,85.2,30.4,0,0.864963503649635,19,1,511
0911027X,50,84.1,24.8,0,0.8337468982630273,32,1,739
0620068M,0,84.7,27.7,0,1.0105820105820107,29,1,380
0382110M,62,91.0,29.1,0,0.891566265060241,22,1,785
0781618K,0,84.7,25.9,0,1.0378151260504203,23,1,485
0100905E,62,86.0,27.8,0,0.9790940766550522,25,1,568
0921159K,0,84.5,30.0,0,0.9627329192546584,21,1,632
0610045T,0,90.5,24.8,0,1.0303030303030303,27,1,201
0441608J,57,76.3,30.0,0,0.935672514619883,21,1,331
0596529B,0,89.6,30.9,0,0.8832116788321168,38,1,516
0210025N,0,93.8,33.2,0,0.9186046511627907,20,1,330
0180037T,0,75.4,25.6,0,0.8231046931407943,24,1,505
0631762Y,0,88.1,26.9,0,1.097902097902098,21,1,300
0271104D,0,88.0,29.2,0,0.9592760180995475,20,1,433
0940516A,0,113.1,38.8,0,0.8758314855875832,38,1,846
0950711G,0,73.8,19.4,0,1.034013605442177,19,1,598
0421677V,0,97.1,38.8,0,0.9708333333333333,22,1,473
0360541T,61,69.2,21.0,0,1.010204081632653,18,1,394
0620170Y,46,73.8,22.7,0,0.7899543378995434,21,1,392
0770019C,94,85.1,29.0,0,1.0604229607250755,23,1,682
